2022-07-19 12:16:57,117 DEBUG   HandlerThread:3584 [handler.py:handle_request():140] handle_request: partial_history
2022-07-19 12:16:57,980 INFO    Thread-19 :3584 [upload_job.py:push():96] Uploaded file C:\Users\aksha\.cache\wandb\artifacts\obj\md5\da\8afd0bcf58001483fd9100087a7bc2
2022-07-19 12:16:58,941 INFO    SenderThread:3584 [sender.py:send_request_log_artifact():1009] logged artifact run-mbk506qy-my_custom_id_1_Before_table - {'id': 'QXJ0aWZhY3Q6MTYwMjgyNDM1', 'digest': 'b3d0814af80e102612c6224b327b00c1', 'state': 'PENDING', 'aliases': [], 'artifactSequence': {'id': 'QXJ0aWZhY3RDb2xsZWN0aW9uOjI0NDMxMTk4', 'latestArtifact': None}, 'version': 'latest'}
2022-07-19 12:16:58,942 DEBUG   SenderThread:3584 [sender.py:send():236] send: files
2022-07-19 12:16:58,942 INFO    SenderThread:3584 [sender.py:_save_file():952] saving file media\table\my_custom_id_1_Before_table_0_f1151ff389b0baf97374.table.json with policy now
2022-07-19 12:16:58,943 DEBUG   SenderThread:3584 [sender.py:send():236] send: history
2022-07-19 12:16:58,944 DEBUG   SenderThread:3584 [sender.py:send():236] send: summary
2022-07-19 12:16:58,946 INFO    SenderThread:3584 [sender.py:_save_file():952] saving file wandb-summary.json with policy end
2022-07-19 12:16:58,947 DEBUG   SenderThread:3584 [sender.py:send():236] send: history
2022-07-19 12:16:58,948 DEBUG   SenderThread:3584 [sender.py:send():236] send: summary
2022-07-19 12:16:58,949 INFO    SenderThread:3584 [sender.py:_save_file():952] saving file wandb-summary.json with policy end
2022-07-19 12:16:59,029 INFO    Thread-11 :3584 [dir_watcher.py:_on_file_modified():286] file/dir modified: C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\Code\wandb\run-20220719_121642-mbk506qy\files\wandb-summary.json
2022-07-19 12:16:59,030 INFO    Thread-11 :3584 [dir_watcher.py:_on_file_modified():286] file/dir modified: C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\Code\wandb\run-20220719_121642-mbk506qy\files\output.log
2022-07-19 12:16:59,488 INFO    Thread-20 :3584 [upload_job.py:push():138] Uploaded file C:\Users\aksha\AppData\Local\Temp\tmpbfpyyc2nwandb\1g7558gg-media/table/my_custom_id_1_Before_table_0_f1151ff389b0baf97374.table.json
2022-07-19 12:17:04,290 DEBUG   HandlerThread:3584 [handler.py:handle_request():140] handle_request: stop_status
2022-07-19 12:17:04,290 DEBUG   SenderThread:3584 [sender.py:send_request():250] send_request: stop_status
2022-07-19 12:17:08,863 DEBUG   HandlerThread:3584 [handler.py:handle_request():140] handle_request: partial_history
2022-07-19 12:17:08,865 DEBUG   SenderThread:3584 [sender.py:send():236] send: history
2022-07-19 12:17:08,866 DEBUG   SenderThread:3584 [sender.py:send():236] send: summary
2022-07-19 12:17:08,870 INFO    SenderThread:3584 [sender.py:_save_file():952] saving file wandb-summary.json with policy end
2022-07-19 12:17:09,116 INFO    Thread-11 :3584 [dir_watcher.py:_on_file_modified():286] file/dir modified: C:\Users\aksha\Documents\GitHub\SpeakerEmbeddingGenerationDenoisingDiffusion\Code\wandb\run-20220719_121642-mbk506qy\files\wandb-summary.json
