The shape of input is:  (100, 704)
tensor(1.1743, grad_fn=<MeanBackward0>)
tensor(1.0179, grad_fn=<MeanBackward0>)
tensor(1.0013, grad_fn=<MeanBackward0>)
tensor(0.9992, grad_fn=<MeanBackward0>)
tensor(1.0045, grad_fn=<MeanBackward0>)
tensor(0.9884, grad_fn=<MeanBackward0>)
tensor(0.9996, grad_fn=<MeanBackward0>)
tensor(1.0085, grad_fn=<MeanBackward0>)
tensor(1.0038, grad_fn=<MeanBackward0>)
tensor(0.9869, grad_fn=<MeanBackward0>)
