The shape of input is:  (100, 704)
tensor(1.1701, grad_fn=<MeanBackward0>)
tensor(0.9949, grad_fn=<MeanBackward0>)
tensor(0.9873, grad_fn=<MeanBackward0>)
tensor(0.9999, grad_fn=<MeanBackward0>)
tensor(0.9892, grad_fn=<MeanBackward0>)
tensor(0.9910, grad_fn=<MeanBackward0>)
tensor(1.0159, grad_fn=<MeanBackward0>)
tensor(1.0018, grad_fn=<MeanBackward0>)
tensor(0.9968, grad_fn=<MeanBackward0>)
tensor(0.9885, grad_fn=<MeanBackward0>)
